nyear1,countyname,SourceType,mun,mfg,mining,power,irrig,livestock
1974,GRAYSON       ,Surfacewater,"4,072","1,339",0,0,760,"1,583"
1974,GREGG         ,Groundwater,"3,258",396,502,0,0,38
1974,GREGG         ,Surfacewater,"7,165","5,971",0,"3,544",0,330
1974,GRIMES        ,Groundwater,"1,520",143,19,0,115,222
1974,GRIMES        ,Surfacewater,0,0,0,0,0,"1,939"
1974,GUADALUPE     ,Groundwater,"2,489",161,28,0,"1,080",156
1974,GUADALUPE     ,Surfacewater,"2,634",576,0,0,"1,645","1,054"
1974,HALE          ,Groundwater,"4,516","2,649","1,333",0,"826,177","1,757"
1974,HALE          ,Surfacewater,"2,125",0,0,0,180,322
1974,HALL          ,Groundwater,844,8,0,0,"25,213",161
1974,HALL          ,Surfacewater,0,0,0,0,0,545
1974,HAMILTON      ,Groundwater,495,65,1,0,307,303
1974,HAMILTON      ,Surfacewater,581,0,0,0,"1,403",952
1974,HANSFORD      ,Groundwater,"1,524",31,66,0,"409,341","1,311"
1974,HANSFORD      ,Surfacewater,0,0,0,0,130,349
1974,HARDEMAN      ,Groundwater,317,111,9,0,"17,238",128
1974,HARDEMAN      ,Surfacewater,527,242,0,"1,785",173,505
1974,HARDIN        ,Groundwater,"3,598","1,917",75,0,"5,770",15
1974,HARDIN        ,Surfacewater,0,0,0,0,0,105
1974,HARRIS        ,Groundwater,"221,789","228,946","17,892","13,808","82,541",151
1974,HARRIS        ,Surfacewater,"66,497","137,391",0,0,"8,400","1,243"
1974,HARRISON      ,Groundwater,"2,508",286,833,0,2,119
1974,HARRISON      ,Surfacewater,"3,743","28,038",51,0,45,"1,011"
1974,HARTLEY       ,Groundwater,661,18,2,0,"187,972","1,833"
1974,HARTLEY       ,Surfacewater,0,0,0,0,0,374
1974,HASKELL       ,Groundwater,"1,138",40,361,0,"41,646",157
1974,HASKELL       ,Surfacewater,35,0,0,"1,136",68,501
1974,HAYS          ,Groundwater,"5,050",181,5,0,462,79
1974,HAYS          ,Surfacewater,56,0,0,0,"1,263",710
1974,HEMPHILL      ,Groundwater,"1,068",56,44,0,"5,144",202
1974,HEMPHILL      ,Surfacewater,0,0,0,0,36,531
1974,HENDERSON     ,Groundwater,"1,701",97,94,0,0,270
1974,HENDERSON     ,Surfacewater,"1,958",303,28,"3,453",0,"2,246"
1974,HIDALGO       ,Groundwater,"4,556",564,"1,142",0,"18,763","1,297"
1974,HIDALGO       ,Surfacewater,"28,058","2,270",204,"1,510","583,887",142
1974,HILL          ,Groundwater,"2,831",496,3,0,238,234
1974,HILL          ,Surfacewater,0,0,0,0,324,"1,269"
1974,HOCKLEY       ,Groundwater,"1,586",93,"16,693",0,"345,502",395
1974,HOCKLEY       ,Surfacewater,"2,016",0,0,0,0,135
1974,HOOD          ,Groundwater,"1,106",14,6,0,20,232
1974,HOOD          ,Surfacewater,0,0,0,"3,336",480,718
1974,HOPKINS       ,Groundwater,"1,474",113,34,0,0,394
1974,HOPKINS       ,Surfacewater,"1,521",393,0,0,0,"3,481"
1974,HOUSTON       ,Groundwater,"1,360",496,18,0,219,267
1974,HOUSTON       ,Surfacewater,885,0,0,0,"1,668","2,167"
1974,HOWARD        ,Groundwater,"1,175",171,"1,341",0,"2,360",192
1974,HOWARD        ,Surfacewater,"7,110","3,240","1,407",0,144,80
1974,HUDSPETH      ,Groundwater,252,31,852,0,"137,735",473
1974,HUDSPETH      ,Surfacewater,0,0,0,0,"35,006",0
1974,HUNT          ,Groundwater,"2,791",37,11,0,0,151
1974,HUNT          ,Surfacewater,"4,184",856,0,185,7,"1,202"
1974,HUTCHINSON    ,Groundwater,"2,362","15,512","1,899",383,"87,558",138
1974,HUTCHINSON    ,Surfacewater,"1,406","1,945",0,0,0,528
1974,IRION         ,Groundwater,99,0,48,0,529,681
1974,IRION         ,Surfacewater,0,0,0,0,"1,950",0
1974,JACK          ,Groundwater,347,0,123,0,0,217
1974,JACK          ,Surfacewater,532,16,0,0,0,824
1974,JACKSON       ,Groundwater,"1,902",258,254,0,"123,146",87
1974,JACKSON       ,Surfacewater,0,0,0,0,"2,360",761
1974,JASPER        ,Groundwater,"3,623","48,422",19,0,0,62
1974,JASPER        ,Surfacewater,0,"12,400",0,0,40,365
1974,JEFF DAVIS    ,Groundwater,192,12,0,0,692,728
1974,JEFF DAVIS    ,Surfacewater,0,0,0,0,100,0
1974,JEFFERSON     ,Groundwater,"6,737","3,553",15,0,0,72
1974,JEFFERSON     ,Surfacewater,"25,203","157,271","6,951","3,465","173,675",642
1974,JIM HOGG      ,Groundwater,382,20,22,0,129,657
1974,JIM HOGG      ,Surfacewater,0,0,0,0,0,73
1974,JIM WELLS     ,Groundwater,"1,619",59,600,0,"2,914","1,128"
1974,JIM WELLS     ,Surfacewater,"2,935",21,0,0,47,123
1974,JOHNSON       ,Groundwater,"2,993",445,231,0,0,256
1974,JOHNSON       ,Surfacewater,"3,419",452,505,0,0,958
1974,JONES         ,Groundwater,595,0,422,0,"3,103",278
1974,JONES         ,Surfacewater,"2,370",191,5,646,"1,160",810
1974,KARNES        ,Groundwater,"1,960",101,160,0,"2,677","1,304"
1974,KARNES        ,Surfacewater,0,0,0,0,"1,986",142
1974,KAUFMAN       ,Groundwater,248,0,2,0,0,194
1974,KAUFMAN       ,Surfacewater,"5,697",595,23,0,42,"1,536"
1974,KENDALL       ,Groundwater,"1,047",10,30,0,217,653
1974,KENDALL       ,Surfacewater,0,0,0,0,300,0
1974,KENEDY        ,Groundwater,79,0,0,0,0,"1,268"
1974,KENEDY        ,Surfacewater,0,0,0,0,192,141
1974,KENT          ,Groundwater,197,0,90,0,"2,080",90
1974,KENT          ,Surfacewater,0,0,0,0,0,0
1974,KERR          ,Groundwater,"3,636",136,4,0,95,"1,012"
1974,KERR          ,Surfacewater,0,0,0,0,311,0
1974,KIMBLE        ,Groundwater,818,"1,090",1,0,"1,345",985
1974,KIMBLE        ,Surfacewater,0,16,0,0,"3,274",0
1974,KING          ,Groundwater,59,0,1,0,523,136
1974,KING          ,Surfacewater,0,0,0,0,33,500
1974,KINNEY        ,Groundwater,622,0,0,0,"10,820",706
1974,KINNEY        ,Surfacewater,0,0,0,0,"3,497",74
1974,KLEBERG       ,Groundwater,"3,981",46,133,0,433,"1,041"
1974,KLEBERG       ,Surfacewater,0,0,0,0,72,111
1974,KNOX          ,Groundwater,850,129,115,0,"44,705",133
1974,KNOX          ,Surfacewater,0,0,0,0,293,507
1974,LA SALLE      ,Groundwater,990,0,5,0,"11,900","1,047"
1974,LA SALLE      ,Surfacewater,0,0,0,0,985,115
1974,LAMAR         ,Groundwater,865,770,58,0,0,197
1974,LAMAR         ,Surfacewater,"4,763","5,079",0,0,68,"1,534"
1974,LAMB          ,Groundwater,"3,266",64,323,"5,915","413,872","1,131"
1974,LAMB          ,Surfacewater,0,0,0,0,0,231
1974,LAMPASAS      ,Groundwater,409,0,0,0,78,223
1974,LAMPASAS      ,Surfacewater,"1,642",269,0,0,331,826
1974,LAVACA        ,Groundwater,"2,437",557,27,0,"24,123",303
1974,LAVACA        ,Surfacewater,0,0,0,0,202,"1,756"
1974,LEE           ,Groundwater,"1,014",35,0,0,334,229
1974,LEE           ,Surfacewater,0,0,0,0,349,"1,340"
1974,LEON          ,Groundwater,999,3,107,0,34,292
1974,LEON          ,Surfacewater,0,0,15,0,0,"1,789"
1974,LIBERTY       ,Groundwater,"4,331",424,950,0,"33,577",95
1974,LIBERTY       ,Surfacewater,0,0,"1,908",0,"71,029",719
1974,LIMESTONE     ,Groundwater,"1,039",164,172,0,40,155
1974,LIMESTONE     ,Surfacewater,"1,372",0,290,0,0,"1,328"
1974,LIPSCOMB      ,Groundwater,499,2,31,0,"21,074",254
1974,LIPSCOMB      ,Surfacewater,0,0,0,0,25,796
1974,LIVE OAK      ,Groundwater,541,0,61,0,"1,724",961
1974,LIVE OAK      ,Surfacewater,328,728,0,0,433,104
1974,LLANO         ,Groundwater,547,0,15,0,409,"1,024"
1974,LLANO         ,Surfacewater,795,6,0,"2,024",270,0
1974,LOVING        ,Groundwater,12,6,0,0,0,100
1974,LOVING        ,Surfacewater,0,0,0,0,51,0
1974,LUBBOCK       ,Groundwater,"8,055",681,130,"1,763","271,909","1,576"
1974,LUBBOCK       ,Surfacewater,"27,984","2,794",0,"4,350","6,500",290
1974,LYNN          ,Groundwater,668,1,4,0,"72,274",251
1974,LYNN          ,Surfacewater,481,0,0,0,108,101
1974,MADISON       ,Groundwater,"1,577",6,7,0,40,162
1974,MADISON       ,Surfacewater,0,0,0,0,0,"1,353"
1974,MARION        ,Groundwater,652,65,40,0,0,25
1974,MARION        ,Surfacewater,393,0,54,"4,398",0,211
1974,MARTIN        ,Groundwater,419,0,568,0,"29,825",248
1974,MARTIN        ,Surfacewater,304,0,0,0,0,99
1974,MASON         ,Groundwater,612,4,1,0,"6,304","1,239"
1974,MASON         ,Surfacewater,0,0,0,0,160,0
1974,MATAGORDA     ,Groundwater,"3,818",280,288,0,"36,615",158
1974,MATAGORDA     ,Surfacewater,0,"5,568",0,0,"172,244","1,373"
1974,MAVERICK      ,Groundwater,331,0,19,0,"3,330","1,211"
1974,MAVERICK      ,Surfacewater,"2,783",39,41,0,"97,600",24
1974,MCCULLOCH     ,Groundwater,"1,982",241,168,0,"1,679","1,365"
1974,MCCULLOCH     ,Surfacewater,0,0,0,0,501,0
1974,MCLENNAN      ,Groundwater,"6,291","1,613",447,0,652,469
1974,MCLENNAN      ,Surfacewater,"25,695","3,162",648,"13,075","4,255","1,672"
1974,MCMULLEN      ,Groundwater,100,0,9,0,0,925
1974,MCMULLEN      ,Surfacewater,0,0,0,0,0,103
1974,MEDINA        ,Groundwater,"3,395",331,26,0,"41,033","1,676"
1974,MEDINA        ,Surfacewater,0,0,0,0,"28,634",174
1974,MENARD        ,Groundwater,103,0,0,0,315,814
1974,MENARD        ,Surfacewater,264,0,0,0,"3,016",0
1974,MIDLAND       ,Groundwater,"3,400","1,582","3,676",0,"36,264",542
1974,MIDLAND       ,Surfacewater,"10,512",74,0,0,"1,193",139
1974,MILAM         ,Groundwater,"1,657",929,21,0,161,274
1974,MILAM         ,Surfacewater,"1,108","6,500",0,"2,407","1,155","1,723"
1974,MILLS         ,Groundwater,346,3,0,0,0,280
1974,MILLS         ,Surfacewater,407,0,0,0,"6,559","1,038"
1974,MITCHELL      ,Groundwater,458,22,0,0,"4,204",176
1974,MITCHELL      ,Surfacewater,"1,387",0,161,"4,215",110,672
1974,MONTAGUE      ,Groundwater,796,0,207,0,192,365
1974,MONTAGUE      ,Surfacewater,"1,397",77,236,0,167,"1,405"
1974,MONTGOMERY    ,Groundwater,"7,759","1,659",552,0,0,58
1974,MONTGOMERY    ,Surfacewater,0,0,0,"2,609",0,500
1974,MOORE         ,Groundwater,"2,904","8,701",173,690,"327,908","1,252"
1974,MOORE         ,Surfacewater,0,0,0,0,0,209
1974,MORRIS        ,Groundwater,"1,007",145,15,0,1,100
1974,MORRIS        ,Surfacewater,522,"150,376",0,252,272,682
1974,MOTLEY        ,Groundwater,386,1,0,0,"6,499",622
1974,MOTLEY        ,Surfacewater,0,0,0,0,60,262
1974,NACOGDOCHES   ,Groundwater,"5,050","1,779",58,0,0,637
1974,NACOGDOCHES   ,Surfacewater,0,49,0,0,21,"1,056"
1974,NAVARRO       ,Groundwater,514,2,36,0,0,206
1974,NAVARRO       ,Surfacewater,"4,128","2,835",99,0,0,"1,747"
1974,NEWTON        ,Groundwater,"1,528","1,202",14,0,763,18
1974,NEWTON        ,Surfacewater,0,0,0,0,4,150
1974,NOLAN         ,Groundwater,268,45,811,0,"2,706",358
1974,NOLAN         ,Surfacewater,"2,510",593,"1,031",0,216,678
1974,NUECES        ,Groundwater,"1,605",616,"1,471",0,3,449
1974,NUECES        ,Surfacewater,"38,795","25,988",1,"3,246",80,47
1974,OCHILTREE     ,Groundwater,"1,642",38,"1,820",0,"207,585","1,398"
1974,OCHILTREE     ,Surfacewater,0,0,0,0,155,279
1974,OLDHAM        ,Groundwater,536,0,0,0,"31,688",430
1974,OLDHAM        ,Surfacewater,0,0,0,0,0,572
1974,ORANGE        ,Groundwater,"8,422","15,591",38,0,"1,118",14
1974,ORANGE        ,Surfacewater,0,"30,522",0,0,"9,182",76
1974,PALO PINTO    ,Groundwater,558,0,0,0,68,257
1974,PALO PINTO    ,Surfacewater,"2,807",590,71,925,772,998
1974,PANOLA        ,Groundwater,"1,372",337,166,0,3,356
1974,PANOLA        ,Surfacewater,454,271,0,0,0,"1,205"
1974,PARKER        ,Groundwater,"2,285",59,135,0,32,306
1974,PARKER        ,Surfacewater,"1,745",205,180,387,472,"1,159"
1974,PARMER        ,Groundwater,"2,104","1,266",3,0,"605,552","1,790"
1974,PARMER        ,Surfacewater,0,0,0,0,145,546
1974,PECOS         ,Groundwater,"3,271",175,"1,461",0,"177,454","1,227"
1974,PECOS         ,Surfacewater,0,0,0,0,"6,215",0
1974,POLK          ,Groundwater,"2,079","1,072",56,0,0,63
1974,POLK          ,Surfacewater,0,338,0,0,0,553
1974,POTTER        ,Groundwater,"7,525","2,063",129,"4,888","24,327",75
1974,POTTER        ,Surfacewater,"11,880","1,257",0,0,0,263
1974,PRESIDIO      ,Groundwater,"1,263",1,2,0,"7,909","1,041"
1974,PRESIDIO      ,Surfacewater,0,0,0,0,"15,562",0
1974,RAINS         ,Groundwater,238,13,0,0,0,5
1974,RAINS         ,Surfacewater,305,0,0,0,0,34
1974,RANDALL       ,Groundwater,"5,859",86,115,0,"96,057",439
1974,RANDALL       ,Surfacewater,"6,108",2,0,0,826,"1,252"
1974,REAGAN        ,Groundwater,779,31,894,0,"14,531",435
1974,REAGAN        ,Surfacewater,0,0,0,0,0,0
1974,REAL          ,Groundwater,289,566,0,0,0,329
1974,REAL          ,Surfacewater,0,0,0,0,941,0
1974,RED RIVER     ,Groundwater,"1,718",91,4,0,40,287
1974,RED RIVER     ,Surfacewater,109,0,0,169,0,"2,163"
1974,REEVES        ,Groundwater,"3,342",102,206,0,"303,162","1,500"
1974,REEVES        ,Surfacewater,0,0,0,0,"16,623",0
1974,REFUGIO       ,Groundwater,"1,156",9,144,0,0,629
1974,REFUGIO       ,Surfacewater,0,0,0,0,0,69
1974,ROBERTS       ,Groundwater,210,0,1,0,"13,518",120
1974,ROBERTS       ,Surfacewater,0,0,0,0,0,462
1974,ROBERTSON     ,Groundwater,"2,809",145,5,0,"16,009",228
1974,ROBERTSON     ,Surfacewater,0,0,0,0,"4,055","1,490"
1974,ROCKWALL      ,Groundwater,163,0,4,0,0,20
1974,ROCKWALL      ,Surfacewater,821,159,0,0,0,144
1974,RUNNELS       ,Groundwater,521,0,229,0,"1,185",395
1974,RUNNELS       ,Surfacewater,"1,630",71,0,0,"6,651",823
1974,RUSK          ,Groundwater,"4,682",478,593,0,0,226
1974,RUSK          ,Surfacewater,0,46,0,0,1,"1,836"
1974,SABINE        ,Groundwater,"1,201",88,1,0,0,208
1974,SABINE        ,Surfacewater,138,201,0,0,0,178
1974,SAN AUGUSTINE ,Groundwater,683,426,0,0,0,262
1974,SAN AUGUSTINE ,Surfacewater,600,0,0,0,0,359
1974,SAN JACINTO   ,Groundwater,897,2,14,0,0,46
1974,SAN JACINTO   ,Surfacewater,0,0,0,0,0,404
1974,SAN PATRICIO  ,Groundwater,"2,518",328,259,0,"5,926",252
